"영문명","한글명","국가명_영문","국가명_한글","지역","주_영문","주_한글","도시명_영문","도시명_한글","홈페이지"
"Cincinnati Municipal Airport","신시내티 시공항","United States","미국","북미캐나다","Ohio","오하이오","Cincinnati","신시내티",""
"Cincinnati/Northern Kentucky International Airport","신시내티 노던 켄터키 국제공항","United States","미국","북미캐나다","Kentucky","켄터키","Hebron","헤브론","www.cvgairport.com/"
"Cleveland Burke Lakefront Airport","클리블랜드 버크 레이크프런트 공항","United States","미국","북미캐나다","Ohio","오하이오","Cleveland","클리블랜드",""
"Cleveland Hopkins International Airport","클리블랜드 홉킨스 국제공항","United States","미국","북미캐나다","Ohio","오하이오","Cleveland /Cuyahoga","클리블랜드 / 쿠야호가","www.clevelandairport.com/"
"Coleman A. Young International Airport","코울먼 A. 영 시공항","United States","미국","북미캐나다","Michigan","미시간","Detroit","디트로이트",""
"Coles County Airport","코우릇 카운티 공항","United States","미국","북미캐나다","Illinois","일리노이","Mattoon","매툰","www.colescounty.net/airport"
"Colorado Springs Airport (City of Colorado Springs Municipal Airport, formerly Peterson Air Force Base)","콜로라도스프링스  시공항 (구>페터스 에어필드)","United States","미국","북미캐나다","Colorado","콜로라도","Colorado Springs","콜로라도 스프링스","www.springsgov.com/AirportIndex.asp"
"Columbia Metropolitan Airport","컬럼비아 메트로폴리탄 공항","United States","미국","북미캐나다","South Carolina","사우스캐롤라이나","West Columbia","웨스트 컬럼비아","www.columbiaairport.com/"
"Columbia Regional Airport","컬럼비아 지역공항","United States","미국","북미캐나다","Missouri","미주리","Columbia","컬럼비아","www.flymidmo.com"
"Corpus Christi International Airport","코퍼스크리스티 국제공항","United States","미국","북미캐나다","Texas","텍사스","Corpus Christi","코퍼스크리스티","www.cctexas.com/airport/"
"Craig Municipal Airport","크래이그 시공항","United States","미국","북미캐나다","Florida","플로리다","Jacksonville","잭슨빌","www.jaa.aero/AirSys/Craig.aspx"
"Cuyahoga County Airport","쿠야호가 공항","United States","미국","북미캐나다","Ohio","오하이오","Cleveland","클리블랜드",""
"Dallas  Fort Worth International Airport","달라스  포츠워스 국제공항","United States","미국","북미캐나다","Texas","텍사스","Dallas / Fort Worth","달라스 / 포츠워스","www.dfwairport.com/"
"Dallas Love Field","댈러스 러브필드","United States","미국","북미캐나다","Texas","텍사스","Dallas","댈러스","www.dallas-lovefield.org/"
"Dane County Regional Airport ( Truax Filed )","데인 카운티 공항  ( 투루악스 필드 )","United States","미국","북미캐나다","Wisconsin","위스콘신","Madison","매디슨","www.msnairport.com/"
"Danville Regional Airport","댄빌 지역공항","United States","미국","북미캐나다","Virginia","버지니아","Danville","댄빌",""
"Daytona Beach International Airport","데이토너비치 국제공항","United States","미국","북미캐나다","Florida","플로리다","Daytona Beach","데이토너비치","www.flydaytonafirst.com/"
"Del Rio International Airport","델 리오 국제공항","United States","미국","북미","Texas","텍사스","Del Rio","델 리오","www.cityofdelrio.com/index.aspx?NID=412"
"Delaware County Airport","델라웨어 카운티 공항","United States","미국","북미캐나다","Indiana","인디애나","Muncie","먼시",""
"Delta County Airport","델타 카운티 공항","United States","미국","북미캐나다","Michigan","미시간","Escanaba","에스커나바",""
"Denver International Airport (replaced Stapleton Int'l)","덴버 국제공항 (대체 스테플톤 국제공항)","United States","미국","북미캐나다","Colorado","콜로라도","Denver","덴버","www.flydenver.com/"
"Des Moines International Airport","디모인 국제공항","United States","미국","북미캐나다","Iowa","아이오와","Des Moines","디모인","www.dsmairport.com/"
"Detroit Metropolitan Wayne County Airport","디트로이트 메트로폴리탄 웨인 카운티 공항","United States","미국","북미캐나다","Michigan","미시간","Romulus / Detroit","로물루스 / 디트로이트","www.metroairport.com/"
"Dodge City Regional Airport","닷지 시티 지역공항","United States","미국","북미캐나다","Kansas","캔자스","Dodge City","닷지 시티",""
"Drake Field / Fayetteville Municipal Airport (Fayetteville Executive Airport )","드레이크 필드 (페이트빌 시공항)","United States","미국","북미캐나다","Arkansas","아칸소","Fayetteville","페이트빌","www.accessfayetteville.org/government/aviation/index.cfm"
"Dubuque Regional Airport","더뷰크 지역공항","United States","미국","북미캐나다","Iowa","아이오와","Dubuque","더뷰크","www.flydbq.com/index.cfm"
"Duluth International Airport","덜루스 국제공항","United States","미국","북미캐나다","Minnesota","미네소타","Duluth","덜루스","www.duluthairport.com"
"DuPage Airport","듀파지 공항","United States","미국","북미캐나다","Illinois","일리노이","DuPage County, West Chicago","듀파지카운티 / 웨스트시카고","www.DuPageAirport.com"
"Durango-La Plata County Airport","두랑고 라플라타 카운티 공항","United States","미국","북미캐나다","Colorado","콜로라도","Durango","두랑고","www.flydurango.com/"
"Eagle County Regional Airport","이글카운티  지역공항","United States","미국","북미캐나다","Colorado","콜로라도","Vail/Eagle","베일/이글",""
"East Texas Regional Airport","이스트 텍사스 지역공항","United States","미국","북미캐나다","Texas","텍사스","Longview","롱뷰",""
"Easterwood Field Airport","이스터웃 필드 공항","United States","미국","북미","Texas","텍사스","College Station","칼리지 스테이션","aeronav.faa.gov/d-tpp/1402/00928AD.PDF"
"El Paso International Airport","엘패소 국제공항","United States","미국","북미캐나다","Texas","텍사스","El Paso","엘패소","www.elpasointernationalairport.com"
"Ellington Airport","엘링튼 공항","United States","미국","북미캐나다","Texas","텍사스","Houston","휴스턴","Fly2Houston.com/Ellington"
"Elmira-Corning Regional Airport","엘마이라 커닝 지역공항","United States","미국","북미캐나다","New York","뉴욕","Big Flats","빅플랫",""
"Eppley Airfield Airport","에플리 필드","United States","미국","북미캐나다","Nebraska","네브래스카","Omaha","오마하","www.eppleyairfield.com"
"Erie International Airport (Tom Ridge Field)","이리 국제공항 (탐 리지 필드)","United States","미국","북미캐나다","Pennsylvania","펜실베이니아","Erie","이리","www.erieairport.org/"
"Evansville Regional Airport","에번즈빌 지역공항","United States","미국","북미","Indiana","인디애나","Evansville","에번즈빌","flyevv.com/"
"Fairbanks International Airport","페어뱅크스 국제공항","United States","미국","북미캐나다","Alaska","알래스카","Fairbanks","페어뱅크스","www.dot.state.ak.us/faiiap/index.shtml"
"Fayetteville Regional Airport (Grannis Field)","페이트빌 지역공항 (그래니스 필드)","United States","미국","북미캐나다","North Carolina","노스캐롤라이나","Fayetteville","페이트빌",""
"Felts Field Airport","펠츠 필드 공항","United States","미국","북미캐나다","Washington","워싱턴","Spokane","스포캔","www.feltsfield.com/"
"Flagstaff Pulliam Airport","플랙스탭 플리암 공항","United States","미국","북미캐나다","Arizona","애리조나","Flagstaff","플랙스탭",""
"Fort Collins-Loveland Municipal Airport","포트콜린스  러브랜드 시공항","United States","미국","북미캐나다","Colorado","콜로라도","Fort Collins / Loveland","포트콜린스 /러브랜드",""
"Fort Lauderdale Executive Airport","포트로더데일 이그젝큐티브 공항","United States","미국","북미캐나다","Florida","플로리다","Fort Lauderdale","포트로더데일","ci.FtLaud.fl.us/FXE"
"Fort Smith Regional Airport","포트스미스 지역공항","United States","미국","북미캐나다","Arkansas","아칸소","Fort Smith","포트스미스","www.fortsmithairport.com/"
"Fort Wayne International Airport","포트웨인 국제공항","United States","미국","북미캐나다","Indiana","인디애나","Fort Wayne","포트웨인","www.fwairport.com/"
"Fort Worth Meacham International Airport","포트워스 미컴 국제공항","United States","미국","북미캐나다","Texas","텍사스","Fort Worth","포트워스",""
"Francis S. Gabreski Airport","프랜시스 S. 가브레스키 공항","United States","미국","북미캐나다","New York","뉴욕","Westhampton Beach","웨스탬턴 비치",""
"Fresno Yosemite International Airport","프레즈노 요세미티 국제공항","United States","미국","북미캐나다","California","캘리포니아","Fresno","프레즈노","www.fresno.gov/flyfresno"
"Fullerton Municipal Airport","풀러턴 시공항","United States","미국","북미캐나다","California","캘리포니아","Fullerton","풀러턴","www.ci.fullerton.ca.us/airport"
"Gainesville Regional Airport","게인즈빌 공항","United States","미국","북미캐나다","Florida","플로리다","Gainesville","게인즈빌","www.gra-gnv.com"
"Gallatin Field Airport","갤러틴 필드 공항","United States","미국","북미캐나다","Montana","몬태나","Bozeman","보즈만","www.gallatinfield.com"
"Garden City Regional Airport","가든시티 지역공항","United States","미국","북미캐나다","Kansas","캔자스","Garden City","가든시티",""
"Gary/Chicago International Airport","게리 시카고 국제공항","United States","미국","북미캐나다","Indiana","인디애나","Gary","게리","www.garyairport.com/"
"General Mitchell International Airport","제너랄 미첼 국제공항","United States","미국","북미캐나다","Wisconsin","위스콘신","Milwaukee","밀워키","www.mitchellairport.com/"
"George Bush Intercontinental Airport","조지 부쉬 인터콘티넨탈 공항","United States","미국","북미","Texas","텍사스","Houston","휴스턴","www.fly2houston.com/"
"Gerald R. Ford International Airport","제랄드 R. 포드 국제공항","United States","미국","북미캐나다","Michigan","미시간","Grand Rapids","그랜드래피즈","www.flygrandrapids.org/"
"Gillette-Campbell County Airport","질레트 캠벨 카운티 공항","United States","미국","북미캐나다","Wyoming","와이오밍","Gillette","질레트",""
"Glacier Park International Airport","글래셔 파크 국제공항","United States","미국","북미캐나다","Montana","몬태나","Kalispell","캘리스 펠","www.GlacierAirport.com"
"Golden Triangle Regional Airport","골든 트라이앵글 지역공항","United States","미국","북미캐나다","Mississippi","미시시피","Columbus","콜럼버스","www.gtra.com/"
"Grand Canyon National Park Airport","그랜캐년 내셔널 파크 공항","United States","미국","북미캐나다","Arizona","애리조나","Grand Canyon","그랜드 캐니언","www.grandcanyonairport.net"
"Grant County International Airport","그랜트 카운티 국제공항","United States","미국","북미캐나다","Washington","워싱턴","Moses Lake","모제스 레이크","www.portofmoseslake.com"
"Great Falls International Airport","그레이트폴스 국제공항","United States","미국","북미캐나다","Montana","몬태나","Great Falls","그레이트폴스","www.gtfairport.com"
"Greater Cumberland Regional Airport","그레이터 컴벌랜드 지역공항","United States","미국","북미캐나다","Maryland","메릴랜드","Cumberland","컴벌랜드",""
"Greater Peoria Airport","그레이터 피오리아  공항","United States","미국","북미캐나다","Illinois","일리노이","Peoria","피오리아","www.flypia.com/"
"Greeley-Weld County Airport","그릴리 웰드 카운티 공항","United States","미국","북미캐나다","Colorado","콜로라도","Greeley","그릴리","www.gxy.net/"
"Greenbrier Valley Airport","그란비어 밸리 공항","United States","미국","북미캐나다","West Virginia","웨스트버지니아","Lewisburg","루이스버그","www.gvairport.com"
"Greenville-Spartanburg Airport","그린빌 스파르탄버그 공항","United States","미국","북미캐나다","South Carolina","사우스캐롤라이나","Greenville","그린빌","www.gspairport.com"
"Greenwood-Leflore Airport","그린우드 레플러 공항","United States","미국","북미캐나다","Mississippi","미시시피","Greenwood","그린우드",""
"Gulfport-Biloxi International Airport","걸포트 빌록시 국제공항","United States","미국","북미캐나다","Mississippi","미시시피","Gulfport","걸프포트","www.flygpt.com/"
"Hagerstown Regional Airport","행거스타운 지역공항","United States","미국","북미캐나다","Maryland","메릴랜드","Hagerstown","행거스타운","www.FlyHagerstown.com"
"Hancock International Airport","핸콕 국제공항","United States","미국","북미캐나다","New York","뉴욕","Syracuse","시러큐스","www.syrairport.org"
"Hanscom Field ( Laurence G. Hanscom )","로렌스 G. 핸스콤 필드 공항","United States","미국","북미캐나다","Massachusetts","매사추세츠","Bedford / Hanscom","Bedford / Hanscom","www.massport.com"
"Harrisburg International Airport","해리스버그 국제공항","United States","미국","북미캐나다","Pennsylvania","펜실베이니아","Middletown","미들타운","www.flyhia.com"
"Harrison/Marion Regional Airport","해리슨 매리온 지역공항","United States","미국","북미캐나다","West Virginia","웨스트버지니아","Clarksburg","클라크스버그","FlyCKB.com"
"Hartsfield-Jackson Atlanta International Airport","하츠필드 잭슨 애틀랜타 국제공항","United States","미국","북미캐나다","Georgia","조지아","Atlanta","애틀랜타","www.atlanta-airport.com/"
"Hector International Airport","헥터 국제공항","United States","미국","북미캐나다","North Dakota","노스다코타","Fargo","파고","www.fargoairport.com/"
"Herndon Airport","헌던 공항","United States","미국","북미캐나다","Florida","플로리다","Orlando","올랜도","www.orlandoairports.net"
"Hilo International Airport","힐로 국제공항","United States","미국","북미캐나다","Hawaii","하와이","Hilo","힐로","hawaii.gov/dot/airports/ito"
"Hobby Airport","하비 공항","United States","미국","북미캐나다","Texas","텍사스","Houston","휴스턴","www.fly2houston.com/"
"Honolulu International Airport","호놀룰루 국제공항","United States","미국","북미캐나다","Hawaii","하와이","Honolulu","호놀룰루","www.hawaii.gov/dot/airports/oahu"
"Houghton County Airport","휴턴 카운티 미모리얼 공항","United States","미국","북미캐나다","Michigan","미시간","Hancock","핸콕","www.houghtoncounty.org"
"Hulman Field Airport","훌먼 필드 공항","United States","미국","북미캐나다","Indiana","인디애나","Terre Haute","테러호트","www.huf.com"
"Huntsville International Airport","헌츠빌 국제공항","United States","미국","북미캐나다","Alabama","앨라배마","Huntsville","헌츠빌","www.hsvairport.org/"
"Huron Regional Airport","휴런 지역공항","United States","미국","북미캐나다","South Dakota","사우스다코타","Huron","휴런",""
"Igor I. Sikorsky Airport","이뇨 I. 시콜스키 미모리얼 공항","United States","미국","북미캐나다","Connecticut","코네티컷","Bridgeport","브리지포트","www.ci.bridgeport.ct.us"
"Indianapolis International Airport","인디애나폴리스 국제공항","United States","미국","북미캐나다","Indiana","인디애나","Indianapolis","인디애나폴리스","www.indianapolisairport.com"
"Jackson Hole Airport","잭슨 홀 공항","United States","미국","북미캐나다","Wyoming","와이오밍","Jackson Hole","잭슨 홀",""
"Jackson-Evers International Airport","잭슨 에버스 국제공항","United States","미국","북미캐나다","Mississippi","미시시피","Jackson","잭슨","www.jmaa.com/"
"Jacksonville International Airport","잭슨빌 국제공항","United States","미국","북미캐나다","Florida","플로리다","Jacksonville","잭슨빌","www.jaa.aero"
"James M. Cox International Airport","제임스 M. 콕스 국제공항","United States","미국","북미캐나다","Ohio","오하이오","Dayton","데이턴","www.flydayton.com/"
"John F Kennedy International Airport","존 F. 케네디 국제공항","United States","미국","북미캐나다","New York","뉴욕","New York","뉴욕","www.kennedyairport.com/"
"John Wayne-Orange County Airport","존 웨인 오렌지 카운티 공항","United States","미국","북미캐나다","California","캘리포니아","Santa Ana","산티아나","www.ocair.com/"
"Juneau International Airport","주노 국제공항","United States","미국","북미캐나다","Alaska","알래스카","Juneau","쥬노","www.juneau.org/airport"
"Kahului Airport","카후루이 공항","United States","미국","북미캐나다","Hawaii","하와이","Kahului","카후루이","hawaii.gov/dot/airports/ogg"
"Kalamazoo-Battle Creek International Airport","캘러머주 배틀크릭 국제공항","United States","미국","북미캐나다","Michigan","미시간","Kalamazoo","캘러머주","www.azoairport.com/"
"Kansas City Downtown Airport","캔자스시티 다운타운 공항","United States","미국","북미캐나다","Missouri","미주리","Kansas City","캔자스시티","www.flyMKC.com"
"Kansas City International Airport","캔자스시티 국제공항","United States","미국","북미캐나다","Missouri","미주리","Kansas City","캔자스시티","www.FlyKCI.com"
"Ketchikan International Airport","케치칸 국제공항","United States","미국","북미캐나다","Alaska","알래스카","Ketchikan","케치칸",""
"Key West International Airport","키웨스트 국제공항","United States","미국","북미캐나다","Florida","플로리다","Key West","키웨스트",""
"Killeen Municipal Airport (Skylark Field)","카일린 시공항 (스카이락 필드)","United States","미국","북미캐나다","Texas","텍사스","Killeen","카일린","www.ci.killeen.tx.us/?section=27"
"Kissimmee Municipal Airport","키시미 시공항","United States","미국","북미캐나다","Florida","플로리다","Kissimmee","키시미","www.kissimmeeairport.com"
"Kona International Airport ( Ke-Ahole )","코나 국제공항  ( 케 아훌 )","United States","미국","북미캐나다","Hawaii","하와이","Kona","코나","hawaii.gov/dot/airports/koa"
"La Crosse Municipal Airport","라크로스 시공항","United States","미국","북미캐나다","Wisconsin","위스콘신","La Crosse","라크로스","www.cityoflacrosse.org"
"La Guardia International Airport","라구아디아 국제공항","United States","미국","북미캐나다","New York","뉴욕","New York","뉴욕","www.laguardiaairport.com/"
"Laconia International Airport","래코니아 국제공항","United States","미국","북미캐나다","New Hampshire","뉴햄프셔","Laconia","라코니아",""
"Lafayette Regional Airport","라피엣 공항","United States","미국","북미캐나다","Louisiana","루이지애나","Lafayette","라피엣","www.lftairport.com"
"Lahm Municipal Airport","람 시공항","United States","미국","북미캐나다","Ohio","오하이오","Mansfield","맨스필드",""
"Lakefront Airport","레이크프론트 공항","United States","미국","북미캐나다","Louisiana","루이지애나","New Orleans","뉴올리언스","www.lakefrontairport.com"
"Lakeland Municipal Airport","레이크랜드 시공항","United States","미국","북미캐나다","Florida","플로리다","Lakeland","레이크랜드","www.lakelandairport.com"
"Lambert Saint Louis International Airport","램버트 세인트루이스 국제공항","United States","미국","북미캐나다","Missouri","미주리","St. Louis","세인트루이스","www.lambert-stlouis.com/"
"Lansing Capital City Airport","랜싱 캐피탈시티 공항","United States","미국","북미캐나다","Michigan","미시간","Lansing","랜싱","www.flylansing.com/"
"Laredo International Airport","러레이도 국제공항","United States","미국","북미캐나다","Texas","텍사스","Laredo","러레이도","www.cityoflaredo.com/Airport/"
"Las Cruces International Airport","라스 쿠르스 국제공항","United States","미국","북미캐나다","New Mexico","뉴멕시코","Las Cruces","라스 쿠르스 (라스크루사스)",""
"Lebanon Regional Airport","레바논 공항","United States","미국","북미캐나다","New Hampshire","뉴햄프셔","Lebanon","레바논","www.flyleb.com"
"Lehigh Valley International Airport","리하이 밸리 국제공항","United States","미국","북미캐나다","Pennsylvania","펜실베이니아","Hanover Township, Lehigh County / Allentown","하노버타운쉽, 리하이카운티 / 앨런타운","www.lvia.org"
"Lewis B. Wilson Airport","루이스 B. 윌슨 공항","United States","미국","북미캐나다","Georgia","조지아","Macon","메이컨",""
"Lewistown Municipal Airport","루이스타운 시공항","United States","미국","북미캐나다","Montana","몬태나","Lewistown","루이스타운","www.lwtairport.com/"
"Lihue Airport","리후에 공항","United States","미국","북미캐나다","Hawaii","하와이","Kauai Island","카우아이섬","http://hawaii.gov/lih"
"Lincoln Municipal Airport","링컨 시공항","United States","미국","북미캐나다","Nebraska","네브래스카","Lincoln","링컨","www.lincolnairport.com"
"Little Rock National Airport (Adams Field)","리틀록 내셔널 공항 (아담스 필드)","United States","미국","북미캐나다","Arkansas","아칸소","Little Rock","리틀 록","www.littlerockairport.aero/"
"Logan International Airport","로건 국제공항","United States","미국","북미캐나다","Massachusetts","매사추세츠","Boston","보스턴","www.massport.com/logan/default.aspx"
"Long Beach Municipal Airport ( Daugherty Field )","롱비치 시공항  ( 도허티 필드 )","United States","미국","북미캐나다","California","캘리포니아","Long Beach","롱비치","www.longbeach.gov/airport"
"Los Angeles International Airport","로스앤젤레스 국제공항","United States","미국","북미캐나다","California","캘리포니아","Los Angeles","로스앤젤레스","www.lawa.org/welcomeLAX.aspx"
"Louis Armstrong International Airport (New Orleans International)","루이 암스트롱 국제공항 (뉴올리언즈 국제공항)","United States","미국","북미캐나다","Louisiana","루이지애나","New Orleans","뉴올리언스","www.flymsy.com/"
"Lubbock Preston Smith International Airport","러벅 프레스튼 스미스 국제공항","United States","미국","북미캐나다","Texas","텍사스","Lubbock","러벅","www.flylia.com/"
"Manchester-Boston Regional Airport  (Ammon Municipal)","맨체스터-보스톤 지역 공항 (아몬 시공항)","United States","미국","북미캐나다","New Hampshire","뉴햄프셔","Manchester","맨체스터","www.flymanchester.com"
"Manhattan Regional Airport","맨해튼 지역공항","United States","미국","북미캐나다","Kansas","캔자스","Manhattan","맨해튼",""
"Marshfield Municipal Airport","마시필드 시공항","United States","미국","북미캐나다","Wisconsin","위스콘신","Marshfield","마시필드","www.duffysaircraft.com"
"Mathis Field Airport","매티스 필드 공항","United States","미국","북미캐나다","Texas","텍사스","San Angelo","샌앤젤로","www.mathisfield.com"
"Mc Namara Field Airport","잭 맥 마나라 필드 공항","United States","미국","북미캐나다","California","캘리포니아","Crescent City","크레센트 시티",""
"McAllen-Miller International Airport","맥캘린 밀러 국제공항","United States","미국","북미캐나다","Texas","텍사스","McAllen","맥캘린","www.mcallenairport.com/"
"Mccarran International Airport","맥커란 국제공항","United States","미국","북미캐나다","Nevada","네바다","Las Vegas","라스베이거스","www.mccarran.com"
"McGhee Tyson Airport","맥기 타이슨 공항","United States","미국","북미캐나다","Tennessee","테네시","Knoxville","녹스빌","www.TYS.org"
"Meadows Field Airport","미도우즈 필드 공항","United States","미국","북미캐나다","California","캘리포니아","Bakersfield","베이커즈필드","www.meadowsfield.com/"
"Melbourne International Airport","멜버른 국제공항","United States","미국","북미캐나다","Florida","플로리다","Melbourne","멜버른","www.mlbair.com/"
"Memphis International Airport","멤피스 국제공항","United States","미국","북미캐나다","Tennessee","테네시","Memphis","멤피스","www.mscaa.com"
"Merrill Field Airport","메릴 필드 공항","United States","미국","북미캐나다","Alaska","알래스카","Anchorage","앵커리지","www.muni.org/departments/merrill_field/pages/default.aspx"
"Merritt Island Airport","메릿 아일랜드 공항","United States","미국","북미캐나다","Florida","플로리다","Merritt Island","메릿 아일랜드","www.flairport.com"
"Miami International Airport","마이애미 국제공항","United States","미국","북미캐나다","Florida","플로리다","Miami","마이애미","www.miami-airport.com"
"Midland International Airport","미들랜드 국제공항","United States","미국","북미캐나다","Texas","텍사스","Midland","미들랜드","www.flymaf.com/"
"Minden-Tahoe Airport","민덴 타호 공항","United States","미국","북미캐나다","Nevada","네바다","Minden","민덴",""
"Minneapolis St Paul International Airport ( Wold Chamberlain)","미니애폴리스 세인트폴 국제공항 (울드 챔벌레인)","United States","미국","북미캐나다","Minnesota","미네소타","Minneapolis","미니애폴리스","www.mspairport.com/"
"Minot International Airport","미노트 국제공항","United States","미국","북미캐나다","North Dakota","노스다코타","Minot","미노트","web.ci.minot.nd.us/airport/"
"Missoula International Airport","미솔라 국제공항","United States","미국","북미캐나다","Montana","몬태나","Missoula","미솔라 (미쥬라)","www.flymissoula.com/"
"Mobile Downtown Airport","모빌 다운타운 공항","United States","미국","북미캐나다","Alabama","앨라배마","Mobile","모빌","brookleycomplex.com/"
"Mobile Regional Airport","모빌 지역공항","United States","미국","북미캐나다","Alabama","앨라배마","Mobile","모빌","www.mobairport.com/"
"Molokai Airport","모로카이 공항","United States","미국","북미캐나다","Hawaii","하와이","Hoolehua","홀레후아","hawaii.gov/dot/airports/mkk"
"Monterey Peninsula Airport","몬터레이 페닌슬라 공항","United States","미국","북미캐나다","California","캘리포니아","Monterey","몬터레이","www.montereyairport.com"
"Montgomery Field Airport","몽고메리 필드 공항","United States","미국","북미캐나다","California","캘리포니아","San Diego","샌디에고",""
"Montgomery Regional Airport","몽고메리  지역공항","United States","미국","북미캐나다","Alabama","앨라배마","Montgomery","몽고메리",""
"Montrose Regional Airport","몬트로즈 지역공항","United States","미국","북미캐나다","Colorado","콜로라도","Montrose","몬트로즈","www.co.montrose.co.us"
"Moore County Airport","무어 카운티 공항","United States","미국","북미캐나다","North Carolina","노스캐롤라이나","Pinehurst / Southern Pines","파인허스트 / 써던 파인즈",""
"Mount Vernon Airport","마운트버넌 공항","United States","미국","북미캐나다","Illinois","일리노이","Mount Vernon","마운트버넌","www.mtvernonairport.com/"
"Myrtle Beach International Airport","머틀 비치 국제공항","United States","미국","북미캐나다","South Carolina","사우스캐롤라이나","Myrtle","머틀","www.FlyMyrtleBeach.com"
"Nantucket Memorial Airport","낸터켓 미모리얼 공항","United States","미국","북미캐나다","Massachusetts","매사추세츠","Nantucket","낸터켓","www.nantucketairport.com"
"Nashville International Airport","내슈빌 국제공항","United States","미국","북미캐나다","Tennessee","테네시","Nashville","내슈빌","www.flynashville.com/"
"Nenana Municipal Airport","네나나 시공항","United States","미국","북미캐나다","Alaska","알래스카","Nenana","네나나","www.nenana.org"
"Newark Liberty International Airport","뉴왁 리버티 국제공항","United States","미국","북미캐나다","New York","뉴욕","Newark & Elizabeth","뉴왁 / 엘리자베스","www.panynj.gov"
"Niagara Falls International Airport","나이아가라폴스 국제공항","United States","미국","북미캐나다","New York","뉴욕","Niagara Falls","나이아가라폴스","NiagaraFallsAirport.com"
"Norfolk International Airport","노퍽 국제공항","United States","미국","북미캐나다","Virginia","버지니아","Norfolk","노퍽","www.norfolkairport.com"
"Norman Y. Mineta San Jose International Airport","노먼 Y. 미네타 산 호세 국제공항","United States","미국","북미캐나다","California","캘리포니아","San Jose","샌호세","www.sjc.org/"
"North Las Vegas Airport","노스 라스베이거스 공항","United States","미국","북미캐나다","Nevada","네바다","Las Vegas","라스베이거스",""
"North Platte Regional Airport (Lee Bird Field )","노스플랫 지역공항  ( 리버드 필드 )","United States","미국","북미캐나다","Nebraska","네브래스카","North Platte","노스플랫",""
"Northwest Arkansas Regional Airport","노스웨스트 아르캔자스 공항","United States","미국","북미캐나다","Arkansas","아칸소","Fayetteville / Springdale","파에트빌 /스핑데일","www.flyxna.com"
"Oakland International Airport","오클랜드 국제공항","United States","미국","북미캐나다","California","캘리포니아","Oakland","오클랜드","www.oaklandairport.com; www.flyoakland.com"
"O'Hare International Airport","오헤어 국제공항","United States","미국","북미캐나다","Illinois","일리노이","Chicago","시카고","www.flychicago.com"
"Ontario International Airport","온타리오 국제공항","United States","미국","북미캐나다","California","캘리포니아","Ontario","온타리오","www.lawa.org/welcomeONT.cfm"
"Orlando International Airport","올랜도 국제공항","United States","미국","북미캐나다","Florida","플로리다","Orlando","올랜도","www.orlandoairports.net/"
"Outlaw Field Airport","아웃로우 필드 공항","United States","미국","북미캐나다","Tennessee","테네시","Clarksville","클라크스빌","ClarksvilleAirport.com"
"Page Field Airport","페이지 필드 공항","United States","미국","북미캐나다","Florida","플로리다","Fort Myers","포트마이어스",""
"Palm Beach County Airport","팜 비치 카운티 공항","United States","미국","북미캐나다","Florida","플로리다","West Palm Beach","웨스트팜비치","www.lantanaairport.com/info.htm"
"Palm Springs International Airport","팜스프링스 국제공항","United States","미국","북미캐나다","California","캘리포니아","Palm Springs","팜스프링스","www.palmspringsairport.com/"
"Pangborn Memorial Airport","팬번 미모리얼 공항","United States","미국","북미캐나다","Washington","워싱턴","Wenatchee","웨나치",""
"Pensacola Gulf Coast Regional Airport","펜서콜라 걸프 코스트 지역공항","United States","미국","북미캐나다","Florida","플로리다","Pensacola","펜서콜라","www.flypensacola.com/"
"Philadelphia International Airport","필라델피아 국제공항","United States","미국","북미캐나다","Pennsylvania","펜실베이니아","Philadelphia","필라델피아","www.phl.org/"
"Phoenix Sky Harbor International Airport","피닉스 스카이하버 국제공항","United States","미국","북미캐나다","Arizona","애리조나","Phoenix","피닉스","phoenix.gov/AVIATION/index.html"
"Piedmont Triad International Airport","피드몬트 트라이얏 국제공항","United States","미국","북미캐나다","North Carolina","노스캐롤라이나","Greensboro","그린즈버러","www.flyfrompti.com/"
"Pittsburgh International Airport","피츠버그 국제공항","United States","미국","북미캐나다","Pennsylvania","펜실베이니아","Pittsburgh","피츠버그","www.pitairport.com/"
"Port Columbus International Airport","포트 콜럼버스 국제공항","United States","미국","북미캐나다","Ohio","오하이오","Columbus","콜럼버스","www.port-columbus.com"
"Portland International Airport","포틀랜드 국제공항","United States","미국","북미캐나다","Oregon","오리건","Portland","포틀랜드","www.flypdx.com/"
"Preston-Glenn Field Airport","프레스톤 글렌 필드 공항","United States","미국","북미캐나다","Virginia","버지니아","Lynchburg","린치버그","www.lynchburgva.gov"
"Purdue University Airport","퍼두 유니버시티 공항","United States","미국","북미캐나다","Indiana","인디애나","West Lafayette","웨스 라파예트",""
"Quad-Cities Airport","쾌드 시티즈 공항","United States","미국","북미캐나다","Illinois","일리노이","Moline","멀린","www.qcairport.com/"
"Raleigh-Durham International Airport","롤리 더럼 국제공항","United States","미국","북미캐나다","North Carolina","노스캐롤라이나","Raleigh","롤리","www.rdu.com/"
"Renner Goodland Municipal Airport","레너 굿랜드 시공항","United States","미국","북미캐나다","Kansas","캔자스","Goodland","굿랜드",""
"Reno / Taho International Airport","리노 타호 국제공항","United States","미국","북미캐나다","Nevada","네바다","Reno","리노","www.renoairport.com/"
